ID,fold 1,fold 2,fold 3,fold 4,fold 5
TRAIN044103.jpg,train,val,train,train,train
TRAIN092797.jpg,train,train,train,val,train
2380_right.jpg,train,val,train,train,train
3215_left.jpg,train,train,train,train,val
2865_right.jpg,train,train,train,train,train
TRAIN064853.jpg,train,train,val,train,train
3977_right.jpg,train,train,train,train,train
2044_right.jpg,train,train,train,train,val
1325_right.jpg,train,train,train,train,train
TRAIN082701.jpg,train,train,train,train,train
TRAIN057049.jpg,train,train,val,train,train
TRAIN011971.jpg,train,train,train,train,train
3377_left.jpg,train,train,train,train,val
2352_left.jpg,train,train,train,train,train
TRAIN053376.jpg,train,val,train,train,train
TRAIN011161.jpg,train,val,val,train,train
1444_right.jpg,train,train,train,train,train
TRAIN004550.jpg,train,val,train,train,train
TRAIN069753.jpg,train,train,val,train,val
2970_right.jpg,train,val,train,train,train
2630_left.jpg,train,train,train,train,train
3037_right.jpg,train,train,train,train,train
TRAIN025234.jpg,train,train,train,train,train
1297_right.jpg,train,train,train,train,train
TRAIN096632.jpg,train,val,val,train,train
2552_left.jpg,train,train,val,train,train
TRAIN075600.jpg,train,train,val,train,val
3393_left.jpg,train,train,train,train,train
TRAIN088677.jpg,train,train,train,train,train
TRAIN054868.jpg,train,val,train,train,val
TRAIN004946.jpg,train,val,train,train,train
1995_right.jpg,train,val,val,val,val
1327_right.jpg,train,train,train,train,train
TRAIN061525.jpg,train,train,train,val,train
TRAIN051517.jpg,train,train,val,train,val
3008_left.jpg,train,train,train,train,train
4242_left.jpg,train,train,train,train,train
TRAIN014447.jpg,train,val,train,train,train
TRAIN053297.jpg,train,train,train,train,train
TRAIN059147.jpg,train,train,train,train,train
3079_left.jpg,train,train,train,val,train
2514_right.jpg,train,train,train,train,val
3907_right.jpg,train,train,train,train,train
2497_right.jpg,train,val,val,val,train
TRAIN098334.jpg,train,train,val,train,train
2413_right.jpg,train,val,train,train,train
3344_left.jpg,train,train,val,val,train
2616_right.jpg,train,train,train,train,train
TRAIN017929.jpg,train,train,train,train,train
TRAIN068341.jpg,train,train,train,train,val
3349_left.jpg,train,train,train,train,train
573_left.jpg,train,val,train,train,val
TRAIN011357.jpg,train,train,train,train,train
2568_right.jpg,train,train,train,val,val
TRAIN017845.jpg,train,val,val,train,val
2293_right.jpg,train,train,train,val,train
2639_left.jpg,train,train,train,train,train
4626_right.jpg,train,train,train,val,val
TRAIN070779.jpg,train,train,train,train,val
2722_left.jpg,train,train,train,train,train
2679_right.jpg,train,train,train,train,train
3093_left.jpg,train,train,train,val,train
TRAIN066078.jpg,train,train,train,train,train
2714_right.jpg,train,train,train,train,train
3818_left.jpg,train,train,train,train,train
3919_left.jpg,train,val,train,train,val
TRAIN030760.jpg,train,val,train,val,train
1430_left.jpg,train,train,train,train,train
TRAIN074580.jpg,train,train,train,val,train
TRAIN069154.jpg,train,train,train,train,train
TRAIN013514.jpg,train,train,train,train,train
2364_left.jpg,train,train,train,val,train
TRAIN029578.jpg,train,train,val,val,train
1209_right.jpg,train,val,val,train,train
3030_left.jpg,train,train,train,train,train
1668_left.jpg,train,train,train,train,train
3101_left.jpg,train,train,val,train,train
4141_left.jpg,train,train,val,train,train
1896_left.jpg,train,train,val,train,val
TRAIN007302.jpg,train,train,train,val,train
2955_right.jpg,train,train,train,train,train
TRAIN055447.jpg,train,train,train,train,train
TRAIN024604.jpg,train,val,train,train,train
TRAIN046239.jpg,train,train,val,val,val
1271_right.jpg,train,train,train,train,val
2449_right.jpg,train,train,train,train,train
TRAIN035545.jpg,train,val,train,train,train
3084_left.jpg,train,train,train,train,train
3912_right.jpg,train,train,train,train,train
2436_left.jpg,train,train,train,train,train
TRAIN000344.jpg,train,train,train,train,train
3479_left.jpg,train,train,train,val,train
2506_left.jpg,train,train,train,train,train
4453_right.jpg,train,train,train,train,train
TRAIN098866.jpg,train,val,train,train,train
TRAIN067735.jpg,train,train,train,train,val
TRAIN047009.jpg,train,train,train,train,val
TRAIN000598.jpg,train,val,train,train,train
TRAIN034992.jpg,train,val,train,train,train
3556_left.jpg,train,train,train,val,train
TRAIN036927.jpg,train,train,train,train,train
TRAIN009422.jpg,train,train,val,train,train
3716_left.jpg,train,train,train,train,train
TRAIN001631.jpg,train,train,val,train,val
1332_left.jpg,train,train,val,val,train
2480_right.jpg,train,train,train,train,train
3501_left.jpg,train,val,train,val,train
2561_left.jpg,train,val,train,train,train
2707_right.jpg,train,train,train,val,train
TRAIN081265.jpg,train,train,val,train,val
TRAIN000660.jpg,train,val,val,train,train
TRAIN036940.jpg,train,train,train,train,val
3246_left.jpg,train,train,train,train,train
4355_left.jpg,train,train,train,train,train
TRAIN008221.jpg,train,train,train,train,train
3042_left.jpg,train,train,train,val,val
1387_right.jpg,train,train,val,train,val
2069_right.jpg,train,val,train,train,val
2125_right.jpg,train,train,train,train,val
TRAIN025419.jpg,train,train,train,train,val
1162_left.jpg,train,train,train,train,train
1259_right.jpg,train,val,val,train,train
TRAIN089432.jpg,train,train,val,train,train
2913_right.jpg,train,train,val,val,train
TRAIN015481.jpg,train,train,train,train,train
3309_left.jpg,train,train,val,train,train
2368_left.jpg,train,train,train,train,train
TRAIN024284.jpg,train,train,val,train,train
TRAIN085552.jpg,train,train,train,train,train
1288_left.jpg,train,train,train,train,train
TRAIN093587.jpg,train,train,train,train,val
1307_right.jpg,train,train,val,train,train
3843_left.jpg,train,val,train,train,train
TRAIN069820.jpg,train,val,train,train,train
TRAIN008684.jpg,train,val,train,val,train
4873_left.jpg,train,train,train,train,train
TRAIN057293.jpg,train,val,train,train,train
TRAIN064953.jpg,train,train,train,val,train
TRAIN041848.jpg,train,train,train,val,train
2738_left.jpg,train,train,train,val,train
1507_right.jpg,train,train,train,train,train
TRAIN070522.jpg,train,train,train,train,train
TRAIN089101.jpg,train,train,train,train,train
2788_right.jpg,train,train,train,train,train
3829_left.jpg,train,val,train,train,train
2359_right.jpg,train,train,train,train,train
1983_right.jpg,train,train,val,val,train
362_left.jpg,train,train,train,train,train
2591_left.jpg,train,val,train,train,train
2342_right.jpg,train,train,val,train,val
3711_left.jpg,train,val,train,train,train
3528_left.jpg,train,train,train,train,train
TRAIN067355.jpg,train,val,train,train,train
TRAIN034549.jpg,train,val,val,train,train
TRAIN029022.jpg,train,train,val,val,train
2500_right.jpg,train,train,train,val,train
TRAIN030517.jpg,train,val,train,train,train
3410_right.jpg,train,val,val,train,train
68_left.jpg,train,train,train,train,train
TRAIN011911.jpg,train,val,train,train,train
4987_left.jpg,train,train,train,train,train
3405_left.jpg,train,train,train,val,val
2660_left.jpg,train,train,train,train,train
TRAIN058516.jpg,train,train,train,train,train
1941_left.jpg,train,val,train,train,train
TRAIN080401.jpg,train,train,train,train,val
TRAIN004888.jpg,train,train,train,train,train
4933_right.jpg,train,train,train,train,train
3113_left.jpg,train,train,val,val,val
2667_right.jpg,train,train,train,train,val
3063_right.jpg,train,train,val,train,val
TRAIN064136.jpg,train,train,train,val,train
3661_left.jpg,train,train,train,train,val
TRAIN029527.jpg,train,train,train,train,train
TRAIN024976.jpg,train,train,val,train,val
3451_right.jpg,train,train,train,train,val
2835_right.jpg,train,val,train,train,train
3503_right.jpg,train,train,val,train,train
2678_left.jpg,train,train,val,val,train
2952_right.jpg,train,train,val,train,train
3111_right.jpg,train,train,train,train,train
3652_left.jpg,train,train,train,train,train
3356_right.jpg,train,train,val,train,train
TRAIN014589.jpg,train,train,train,train,train
TRAIN035171.jpg,train,train,train,train,train
TRAIN088512.jpg,train,train,train,train,train
3050_left.jpg,train,train,train,val,train
4354_right.jpg,train,train,train,train,val
3669_left.jpg,train,val,train,train,train
TRAIN022922.jpg,train,train,train,train,val
TRAIN094330.jpg,train,val,train,val,train
TRAIN021157.jpg,train,val,val,train,train
3616_right.jpg,train,train,train,train,train
2985_left.jpg,train,train,train,train,train
3264_right.jpg,train,train,train,train,train
TRAIN062326.jpg,train,train,train,train,train
TRAIN043643.jpg,train,train,train,train,train
TRAIN033207.jpg,train,train,train,train,train
2836_right.jpg,train,train,train,train,val
TRAIN036065.jpg,train,train,val,train,train
3155_right.jpg,train,train,train,train,train
TRAIN101362.jpg,train,val,train,train,train
TRAIN026026.jpg,train,train,val,train,train
TRAIN079253.jpg,train,train,train,train,train
3822_left.jpg,train,train,train,train,train
4487_left.jpg,train,val,train,train,val
3850_right.jpg,train,train,train,train,train
TRAIN001415.jpg,train,train,train,val,val
TRAIN068427.jpg,train,val,val,val,train
TRAIN051216.jpg,train,train,train,val,train
3362_right.jpg,train,train,train,train,train
669_right.jpg,train,train,val,train,train
2988_left.jpg,train,train,train,val,train
2573_right.jpg,train,train,train,val,train
TRAIN033954.jpg,train,train,val,val,val
854_left.jpg,train,train,train,train,train
TRAIN017395.jpg,train,train,train,train,train
3066_left.jpg,train,train,train,train,val
TRAIN047602.jpg,train,train,val,train,train
2791_right.jpg,train,train,train,train,train
TRAIN077780.jpg,train,train,train,train,train
4602_right.jpg,train,train,train,train,train
24_left.jpg,train,train,train,train,train
TRAIN013944.jpg,train,val,train,train,train
TRAIN033019.jpg,train,val,train,train,train
TRAIN031333.jpg,train,train,train,train,train
TRAIN011318.jpg,train,val,val,train,train
2772_right.jpg,train,train,train,val,train
TRAIN022341.jpg,train,train,train,train,val
2428_right.jpg,train,train,train,train,val
2530_left.jpg,train,train,train,train,train
1649_right.jpg,train,train,train,train,val
2002_left.jpg,train,val,val,train,train
TRAIN074189.jpg,train,train,val,val,train
3715_left.jpg,train,val,train,val,train
4727_right.jpg,train,train,train,val,train
TRAIN088992.jpg,train,train,train,train,train
1465_left.jpg,train,train,val,train,train
3731_left.jpg,train,train,train,val,train
TRAIN044228.jpg,train,train,train,val,train
TRAIN023035.jpg,train,train,val,train,train
2013_left.jpg,train,train,val,val,train
TRAIN023315.jpg,train,train,train,train,train
TRAIN077557.jpg,train,train,train,train,train
3615_left.jpg,train,train,train,train,train
3867_right.jpg,train,val,train,train,val
TRAIN053649.jpg,train,train,train,train,val
